ticker,sector,universe_source
ABMM,Energy,LEGACY_400
ARII,Energy,LEGACY_400
ATLA,Energy,LEGACY_400
BBRM,Energy,LEGACY_400
BESS,Energy,LEGACY_400
BOAT,Energy,LEGACY_400
BSML,Energy,LEGACY_400
BSSR,Energy,LEGACY_400
BULL,Energy,LEGACY_400
CANI,Energy,LEGACY_400
CGAS,Energy,LEGACY_400
COAL,Energy,LEGACY_400
DWGL,Energy,LEGACY_400
ELSA,Energy,LEGACY_400
FIRE,Energy,LEGACY_400
HRUM,Energy,LEGACY_400
IATA,Energy,LEGACY_400
INDY,Energy,LEGACY_400
ITMA,Energy,LEGACY_400
KKGI,Energy,LEGACY_400
KOPI,Energy,LEGACY_400
MAHA,Energy,LEGACY_400
MBAP,Energy,LEGACY_400
MCOL,Energy,LEGACY_400
MKAP,Energy,LEGACY_400
MYOH,Energy,LEGACY_400
PKPK,Energy,LEGACY_400
PSAT,Energy,LEGACY_400
PSSI,Energy,LEGACY_400
PTIS,Energy,LEGACY_400
RAJA,Energy,LEGACY_400
RATU,Energy,LEGACY_400
RGAS,Energy,LEGACY_400
RMKE,Energy,LEGACY_400
RMKO,Energy,LEGACY_400
RUIS,Energy,LEGACY_400
SEMA,Energy,LEGACY_400
SGER,Energy,LEGACY_400
SICO,Energy,LEGACY_400
SMMT,Energy,LEGACY_400
SOCI,Energy,LEGACY_400
SUNI,Energy,LEGACY_400
TCPI,Energy,LEGACY_400
TEBE,Energy,LEGACY_400
TOBA,Energy,LEGACY_400
TPMA,Energy,LEGACY_400
UNIQ,Energy,LEGACY_400
WINS,Energy,LEGACY_400
WOWS,Energy,LEGACY_400
ADMG,Basic Materials,LEGACY_400
AGII,Basic Materials,LEGACY_400
AKPI,Basic Materials,LEGACY_400
ALDO,Basic Materials,LEGACY_400
ALKA,Basic Materials,LEGACY_400
APLI,Basic Materials,LEGACY_400
ASPR,Basic Materials,LEGACY_400
AYLS,Basic Materials,LEGACY_400
BATR,Basic Materials,LEGACY_400
BLES,Basic Materials,LEGACY_400
BMSR,Basic Materials,LEGACY_400
BRNA,Basic Materials,LEGACY_400
CHEM,Basic Materials,LEGACY_400
CITA,Basic Materials,LEGACY_400
CLPI,Basic Materials,LEGACY_400
CTBN,Basic Materials,LEGACY_400
DGWG,Basic Materials,LEGACY_400
DKFT,Basic Materials,LEGACY_400
EKAD,Basic Materials,LEGACY_400
EPAC,Basic Materials,LEGACY_400
ESIP,Basic Materials,LEGACY_400
ESSA,Basic Materials,LEGACY_400
FASW,Basic Materials,LEGACY_400
FPNI,Basic Materials,LEGACY_400
FWCT,Basic Materials,LEGACY_400
GDST,Basic Materials,LEGACY_400
GGRP,Basic Materials,LEGACY_400
IFII,Basic Materials,LEGACY_400
